[INFO ] [2022-05-21 16:50:38,010] Pre-condition: Open chrome and Navigate to app url
[INFO ] [2022-05-21 16:50:57,260] Register - Step 01: Get login page url
[INFO ] [2022-05-21 16:50:57,266] Register - Step 02: Click to 'here' link
[INFO ] [2022-05-21 16:51:11,270] Register - Step 03: Input to 'Email' textbox with value: klinhtkt@gmail.com
[INFO ] [2022-05-21 16:51:11,459] Register - Step 04: Click to 'Submit' button
[INFO ] [2022-05-21 16:51:18,372] Register - Step 05: Get 'Username' / 'Password' information
[INFO ] [2022-05-21 16:51:18,485] Login - Step 01: Open Login page
[INFO ] [2022-05-21 16:51:20,560] Login - Step 03: Input to 'Username' textbox with value: mngr399874
[INFO ] [2022-05-21 16:51:20,743] Login - Step 04: Input to 'Password' textbox with value: uteguga
[INFO ] [2022-05-21 16:51:20,861] Login - Step 05: Click to 'Login' button
[INFO ] [2022-05-21 16:51:25,416] Login - Step 06: Verify welcom message display in 'Homepage'
[INFO ] [2022-05-21 16:51:25,474] Postcondition - Close browser
